通信機器ID,計測日時,セット連番,ID,温度1,温度2,温度3,日射量1,日射量2,日射量3,モジュール裏面温度1,モジュール裏面温度2,モジュール裏面温度3,モジュール裏面温度4,モジュール裏面温度5,モジュール裏面温度6,風速,風向,日射量(水平),湿度,雨量,直達日射量,予備1,予備2,予備3,予備4,予備5,予備6,予備7,予備8,予備9
JMA7147A,20210201000000,1,        ,-13.001,,,0,0,,-13.916,-14.313,-7.507,-9.11,-8.118,,,,,,,,,,,,,,,,
JMA7147A,20210201000000,2,        ,-13.056,,,0,0,,-12.818,-13.214,-6.912,-8.713,-6.912,,,,,,,,,,,,,,,,
JMA7147A,20210201000500,1,        ,-12.268,,,0,0,,-13.916,-14.313,-7.416,-9.018,-8.118,,,,,,,,,,,,,,,,
JMA7147A,20210201000500,2,        ,-13.165,,,0,0,,-12.909,-13.214,-7.019,-8.82,-7.019,,,,,,,,,,,,,,,,
JMA7147A,20210201001000,1,        ,-11.783,,,0,0,,-13.809,-14.221,-7.309,-8.911,-8.011,,,,,,,,,,,,,,,,
JMA7147A,20210201001000,2,        ,-13.01,,,0,0,,-12.909,-13.214,-6.821,-8.713,-7.019,,,,,,,,,,,,,,,,
JMA7147A,20210201001500,1,        ,-11.801,,,0,0,,-13.718,-14.115,-7.309,-8.82,-8.011,,,,,,,,,,,,,,,,
JMA7147A,20210201001500,2,        ,-13.22,,,0,0,,-13.016,-13.321,-7.111,-8.911,-7.111,,,,,,,,,,,,,,,,
JMA7147A,20210201002000,1,        ,-11.646,,,0,0,,-13.718,-14.115,-7.309,-8.82,-8.011,,,,,,,,,,,,,,,,
JMA7147A,20210201002000,2,        ,-13.44,,,0,0,,-13.108,-13.413,-7.111,-8.911,-7.111,,,,,,,,,,,,,,,,
JMA7147A,20210201002500,1,        ,-11.82,,,0,0,,-13.718,-14.115,-7.309,-8.82,-8.011,,,,,,,,,,,,,,,,
JMA7147A,20210201002500,2,        ,-13.66,,,0,0,,-13.108,-13.413,-7.218,-9.018,-7.111,,,,,,,,,,,,,,,,
JMA7147A,20210201003000,1,        ,-12.149,,,0,0,,-13.718,-14.221,-7.416,-8.911,-8.011,,,,,,,,,,,,,,,,
JMA7147A,20210201003000,2,        ,-13.816,,,0,0,,-13.108,-13.519,-7.218,-9.11,-7.218,,,,,,,,,,,,,,,,
JMA7147A,20210201003500,1,        ,-12.406,,,0,0,,-13.809,-14.221,-7.416,-8.911,-8.118,,,,,,,,,,,,,,,,
JMA7147A,20210201003500,2,        ,-13.88,,,0,0,,-13.321,-13.611,-7.309,-9.11,-7.309,,,,,,,,,,,,,,,,
